code,name,description,secuencia,tipoLocalizacion,centroLogistico,ubicacionArea,paisOrigen
WH0006,3,,6,Almacén,,AEROPUERTO INTERNACIONAL JOSE FRANCISCO PEÑA GOMEZ,DO
WH0003,21 ST CENTURY LABELS INTERNATIONAL INC,,3,Almacén,,ZONA FRANCA SANTIAGO - NAVARRETE (PISANO),DO
WH0004,21 ST CENTURY LABELS INTERNATIONAL INC,,4,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0001,007 MEDIA SRL,,1,Almacén,,"Z.F. IND., SAN ISIDRO",DO
WH0007,3 MT ENTERPRISES INC,,7,Almacén,,NUEVA ZONA FRANCA INDUSTRIAL DE SAN PEDRO DE MACORÍS (CHEM TEC),DO
WH0008,3C TEXTIL S A,,8,Almacén,,ZONA FRANCA INDUSTRIAL DE LA VEGA,DO
WH0002,1992 IMPORTACION CC GENOVA S A,,2,Almacén,,Z.F. COMERCIALES PTO. PTA.,DO
WH0009,4 FANS,,9,Almacén,,Z.F. COMERCIAL PUNTA CANA,DO
WH0010,787 MANAGED SERVICES SRL,,10,Almacén,,ZONAS FRANCAS ESPECIALES,DO
WH0005,2H ENTERPRISE SRL,,5,Almacén,,,
WH0012,9,,12,Almacén,,AEROPUERTO INTERNACIONAL JOSE FRANCISCO PEÑA GOMEZ,DO
WH0018,A&L WIRE COMPANY,,18,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0014,A G SUPPLY SRL,,14,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0015,A J B LIGNA GROUP SRL,,15,Almacén,,"Z.F. IND., A.J.B. LIGNA GROUP",DO
WH0013,A & D GROUP SERVICES S A,,13,Almacén,,"Z.F. SANTIAGO II,NORTE(PISANO)",DO
WH0016,A M J DOMINICAN CORP,,16,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0011,888 TABAC SRL,,11,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0017,A V I M F G DOMINICANA S A,,17,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0019,AAA CLOTHING EXPORTS,,19,Almacén,,"Z.F. IND., LOS ALCARRIZOS",DO
WH0020,AAA CLOTHING EXPORTS,,20,Almacén,,,
WH0023,ABE DESARROLLOS AGRICOLAS TROPICALES EIRL,,23,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0024,ABEJA CIGAR S A,,24,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0025,ABEJA CIGAR S A,,25,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0021,AAREFF SYSTEMS LIMITED,,21,Almacén,,"Z.F. SANTIAGO II,NORTE(PISANO)",DO
WH0026,ABORDAGE SRL,,26,Almacén,,Z.F. SAN CRISTOBAL(LA ARMERIA),DO
WH0022,ABAM CIGARS S A,,22,Almacén,,"Z.F. IND., VILLA MELLA",DO
WH0028,ACCUMED CORP. (NIGUA),,28,Almacén,,"Z.F. IND., SAN CRISTOBAL(NIGUA)",DO
WH0029,"ACCUMED INNOVATIVE TECHNOLOGIES INC., ZFI NIGUA",,29,Almacén,,"Z.F. IND., SAN CRISTOBAL(NIGUA)",DO
WH0030,"ACCUMED INNOVATIVE TECHNOLOGIES LLC, ZFI ITABO",,30,Almacén,,"Z.F. IND., ITABO",DO
WH0027,ACCUMED CORP. (Ext. ITABO),,27,Almacén,,,
WH0032,ACERO DEL CIBAO,,32,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0033,ACERO DEL CIBAO S A,,33,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0034,ACERO DEL CIBAO SRL,,34,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0035,ACERO L Y T SRL,,35,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0036,ACORD CAPITAL SRL,,36,Almacén,,Z.F. ESP. HAINA INTERNATIONAL TERMINALS,DO
WH0031,ACE WIRELESS DOMINICANA C POR A,,31,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0039,ACRA LEATHER TANNERY S A,,39,Almacén,,"Z.F. IND., SAN FCO. DE MACORIS",DO
WH0040,ACRD INDUSTRIES SRL,,40,Almacén,,ZONA FRANCA INDUSTRIAL CARIBBEAN INDUSTRIAL PARK,DO
WH0037,ACQUIRE BPO SRL,,37,Almacén,,ZONAS FRANCAS ESPECIALES,DO
WH0038,ACQUIRE INTELLIGENCE SRL,,38,Almacén,,,
WH0045,AEROPAQ SRL,,45,Almacén,,AEROPUERTO INTERNACIONAL JOSE FRANCISCO PEÑA GOMEZ,DO
WH0043,ADOMCHIN S A,,43,Almacén,,Z.F. ESP. EMIMAR EXT. 1 NAVARRETE,DO
WH0046,AESC Manufacturing,,46,Almacén,,"Z.F. SANTIAGO II,NORTE(PISANO)",DO
WH0047,AESC MANUFACTURING CORP,,47,Almacén,,"Z.F. SANTIAGO II,NORTE(PISANO)",DO
WH0048,AFA CARIBBEAN LIMITED,,48,Almacén,,"Z.F. IND., SANTIAGO III",DO
WH0049,AFATEX SRL,,49,Almacén,,"Z.F. IND., SANTIAGO III",DO
WH0050,AFATEX SRL,,50,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0044,ADU CORPORATION SRL,,44,Almacén,,ZONA FRANCA INDUSTRIAL DE LA VEGA,DO
WH0042,"ADOHEALTH SRL, ITABO",,42,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN CRISTÓBAL (ITABO),DO
WH0041,"ADOHEALTH SRL, Extensión Lope de Vega",,41,Almacén,,,
WH0053,AGENCIA TECNICA ADUANAL CARLOS NOUEL & ASOCIADOS SRL,,53,Almacén,,AEROPUERTO PUNTA CANA,DO
WH0055,AGRICOLA FAIRTRASA SRL,,55,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0057,"AGRIFEED, S. A.",,57,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0058,AGRO ECO C POR A,,58,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0060,AGROCOMERCIALIZADORA BANANERA MT S A,,60,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0059,AGRO GLA SRL,,59,Almacén,,Z.F. ESP. AGRO GLA,DO
WH0052,AFZ SUPPLY INC,,52,Almacén,,Z.F. ESPECIAL ZFZ SUPLY,DO
WH0054,AGIO CARIBBEAN TOBACCO COMPANY LTD,,54,Almacén,,"Z.F. IND., S.P.M. CHENTEC",DO
WH0056,AGRICULTURA DEL CIBAO S A,,56,Almacén,,Z.F. ESP. AGRICULTURA DEL CIBAO(LA VEGA),DO
WH0051,AFATEX SRL,,51,Almacén,,,
WH0061,AGROEXPORTADORA RODRIGUEZ VILLAR SRL,,61,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0062,AGROFORESTAL MACAPI S A,,62,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0064,AGROINDUSTRIA OCOENA S A,,64,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0065,AGROINDUSTRIA OCOENA S A,,65,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0068,"AGROMARVELA, SRL",,68,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0069,AGROPLAST C POR A,,69,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0070,AGROPLAST SRL,,70,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0063,AGROGLOBAL MONTE PLATA SRL,,63,Almacén,,ZONA FRANCA AGROPROCESS MONTE PLATA S.R.L.,DO
WH0067,AGROMAPEX INDUSTRIAL SRL,,67,Almacén,,Z.F. SAN CRISTOBAL(LA ARMERIA),DO
WH0066,AGROINDUSTRIAL GAALAND SRL,,66,Almacén,,,
WH0079,ALAMBRES DOMINICANOS,,79,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0072,AGROTECHNOLOGY 10 SRL,,72,Almacén,,Z.F. ESP. AGROTECHNOLOGY 10,DO
WH0080,"ALCOHOLES FINOS DOMINICANOS, S. A.",,80,Almacén,,Z.F. ESP. ALCOHOLES FINOS,DO
WH0073,AHG METAIS PRECIOSOS DR SRL,,73,Almacén,,ZONA FRANCA SANTIAGO - NAVARRETE (PISANO),DO
WH0078,AJR INTERNATIONAL SRL,,78,Almacén,,ZONA FRANCA SANTIAGO - NAVARRETE (PISANO),DO
WH0076,AIRLINK DISTRIBUTION DR SRL,,76,Almacén,,"PARQUE CIBERNÉTICO DE SANTO DOMINGO, S. A.",DO
WH0075,AIR SAFE SRL,,75,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0074,AICONTROLLER CARIBBEAN SRL,,74,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0077,AJC CARIBE INC,,77,Almacén,,ZONA FRANCA INDUSTRIAL DE SAN ISIDRO,DO
WH0071,AGROPROYECTO 777 SRL,,71,Almacén,,,
WH0083,ALEVANTE PLASTIC SRL,,83,Almacén,,ZONA FRANCA DE EXPORTACIÓN LA ARMERÍA,DO
WH0087,ALJO DECOR IMPORT & EXPORT SRL,,87,Almacén,,ZONA FRANCA DE EXPORTACIÓN LA ARMERÍA,DO
WH0085,ALIGROUP ALIANCE INTERNATIONAL GROUP S A,,85,Almacén,,"Z.F. IND., SANTIAGO III",DO
WH0082,ALESSI DOMENICO CARIBE SRL,,82,Almacén,,"Z.F. IND., SAN ISIDRO",DO
WH0088,ALL FREE ZONE SUPPLIES S A,,88,Almacén,,ZONA FRANCA INDUSTRIAL LOS ALCARRIZOS,DO
